,Unnamed: 0,tweet,sentiment
148,148,اطالب عزل شفيق محاكمه عمل انتخاب نظيف تحقيق تزوير استبعاد صوت باطل مقطع مهزله,negative
150,150,سقط ابد مقول تيار ديمقراطيه شعبي حليف احتكار اراده شعبيه توكيل صندوق,neutral
151,151,شمس حريه نادي يا وطني يا وطني غالي ولي خنو انتخبوالعرص ريتويت,neutral
152,152,حوك,negative
153,153,بواب هرم اسلوب حقير صهاينه استخدم اخر,negative
154,154,ماقل محمود سعد اراد ادرك حقيق اكذوب استقرار روج لهتصبحوا خير,negative
155,155,برود اسلوبحياه,negative
156,156,جماع ارهابي قتل,negative
157,157,يا فل يا مره تفويضكوم جابي لور مكمل مرسيرئيسي,neutral
158,158,نسمو خلاف سياسيه حزبيه نعل فقط مصلحه وطنيه انتصر ثوره مصر قوي الله,positive
159,159,مصطفي بكر متحدث اسم مجلس عسكري اعلم كثير وجب عمل نجح ثوره,negative
160,160,لون رمادي محل اعراب يا ابيض يا اسود علمتنيالثوره,negative
161,161,اثار تخريب كنيس مارجرجس حرق بيت قبطي قري دلج اعتداء سادهالمحترمون,negative
162,162,شيء برر احال مدينه قضاء عسكري بلطجيه قضاء مدني كفيل,negative
164,164,اهدم نفس عشان تبني مستقبل تعليمفيمصر,negative
165,165,يامن تحدث اسم اسلام تلقي يخالفك راي صندوق قمام بذاء كثير اشتم اسلام لان مهذب,neutral
166,166,مصرالقويه حذر حزب مصر قويه زال حذر خطور سلطه دوله مجرد سند سلط عسكري فهم الس,negative
167,167,مشكله داعي راي اجتمع اسم تجمع تيار تيار شعبيو قاد عقل,neutral
168,168,دولهالتعريص عسكر حرام,negative
169,169,استطاع رئيس مرسي تنصل مسؤوليه الغاء عرض مسرحي مسرح دوله قرار امن اقوي رئيس وعد رئيس ابداع,negative
170,170,نسب شامخ فد يدلع يا ابو شامخ,negative
171,171,عمليه نسر لم فشل نسر هرب طائر نهضه عشان يتجوز عرفي راجع,negative
173,173,اسوانيلماذا اصر ولايه المتحده استمرار دعم مرسي نهايه رغم قتل مصر قمع تظاهر,negative
174,174,انصارالمعزول تعدي ضرب تعذيب صحفي جريد فيتو محمد ممتاز,negative
176,176,تنظيم دولي تعلم يد رامسفلد حرب فت كلاموكلام يوسفالحسيني,negative
177,177,بيزايدوا توع اتحاديه طب جمل هننزل نتظاهر دي ايه رز لبن,negative
178,178,حاولماتبقاش والد صاحب ميه اخر هتجوز استرجل بقي,negative
179,179,اهلي اسلوبحياه,positive
180,180,الله ينور يا ده تفكير عايزينه مسجد كنيس,positive
181,181,مره اتي جيش حبيب شعب اغلبيه كاره غاضب خائف مندهش ثار,negative
183,183,ابو فتح رقبه دوله فكر حال ناس مؤمن منافق ما انريد,negative
184,184,مقدور احد اعاد مصر حظير خوف ثوره كسر حاجز خوف ابد تراجع مطلب ثوره صدر ضد حكم,positive
187,187,طاقه بشريه ما احسن استغلال رصيد عبء قوه,positive
188,188,بسم امل قص سقراط نميمه اسف كثر شائع نميمه كثير الا رحم,negative
189,189,اولادميتعقبه زمالك حبالابيضغير,positive
190,190,استمع عامل حق انشاء نقابه مستقل عقد مؤقت استبعاد مرشح اتخاب نقابيه وجود حد انساني اجر,negative
191,191,احنا حا عمل جلسه مجلس شعب ما اهم بيخلصوا حاج مكتب حوج زحمه مصروف,negative
192,192,رحم الله شهيد واجب وطني حد دعا جناز شعبي حاشد ضد ارهاب طائفي دم مصري حرام,neutral
193,193,طبع رئيس اطلق جماعه بلطجي اعتد يسحل ضرب بلد رئيس فاقد شرعيه تمام,negative
194,194,شكر,positive
195,195,اسم جني متهم نيابه باشر تحقيق نكشف حقيقه كامل راي حمل طرف مسؤوليه توضيح,neutral
196,196,محضر صحابي جليل خليف رسول الله عثمانبنعفان ذوالنورين اذاعهالقران,positive
197,197,غلط شاف اعلام بتاع بيمسكوا حاج تافه,negative
198,198,قلب فرح شبابالاهلي,positive
199,199,موقف محترم حذر خالد طلال عبد عزيز عضو عائله مالك سعودي اجاز خروج رئيس مرسي,positive
200,200,اصحاب محل شرم احتفل انقلاب اذاع سلم ايادي تظاهر ضد انقلاب بكره تشوفو مصر,negative
201,201,حال مر حياه متشرف مدين محل اكبر احد فرح قليل,positive
202,202,لم حدث كذب افتراء,negative
203,203,حاجهتستاهلالحمد حاج حياه اكيد,positive
204,204,ذاتمومنت ما موبايلك يغطس بطنيه قعد ادور ما تلقشي اخر حاج انفض بطنيه قعد موبايل ايتخبط فيالوطي عادي,negative
205,205,هدد استمرار ارهاب عمليه قتل سيناء عود مرسي اعتقد مدان قانون سجن انتظار,negative
206,206,اهالي عزبهالنخل فضح سيسي حمله عمل توكيل سيسي,negative
207,207,احي شيخ حسن عبد بصير مسجد جابر رفض تعليم وقف نفاق مرسي خطبه جمعهتعلموا استقامه اخوان كاذب,neutral
208,208,دعا دين نشر اكذوبه لم ابد عضو وطني تاجر دين,negative
209,209,تبص حوالي هتعرف احسن ناس كتير عشان كد لازم حمدلله,positive
210,210,اكشنيادوري نصرالاهلي نصر شي ماينتسوي فاز تصدر رغم صعوبه موت ياجماهير حوي نصر هيهات,neutral
211,211,واثق احداث دم سال اثارلكني لم اتخيل ابد وقود الهب مشعر مل تحي,neutral
212,212,مرسي موحد فتنه,negative
214,214,نيويورك تايمز انقلاب دراكولا بطش صحاف,negative
215,215,استمرار تطور تجديد كادر تنظيم مسلح جماع ارهابيه سادهالمحترمون,negative
216,216,ببلاوي انتخبوالعرص هاشتاج,negative
217,217,الليرافضينالسيسيرئيسبيعملوافولوالبعض مرسيرئيسي انتخبوالعرص سيناءخارجالتغطيه سانتخبالسيسي,neutral
218,218,ماحدش هيضيع بلد جبان واطي حقير ذم عمر ما نفس ما كتر ما خائف جبان,negative
219,219,مفيش حاج اسم دوله وطني حاج اسم جماع تنظيم طز مصر سادهالمحترمون,negative
221,221,مال سمك اسكندري يافندم طب الله مبلغ عالم مالقي مثيل اتوسل اليكي ماتحطميش اسطوره خاص,positive
222,222,اعتقال امطار مبرر انقلاب رفض حضور محامي تحقيق نيابه,negative
223,223,عبد منعم ابو فتح اعداء مصري خارج داخل دبر مؤامره اجهاض ثور,negative
224,224,قدام بيت ايموشنموجب ربيع جمال نيويورك بيت مبتعث,positive
225,225,صراح ناس ابقي نفس تقول يلا مركب اودي يا ري تقلب اودي رخام,negative
226,226,جزار فاشل حضر سكين ذبح كبش فداء اكتشف مشكله اعمق فشل مشكل فشل سياسه,negative
227,227,نصرالفيصلي عظيم جمهور الله اسعد حاضر غايب,positive
228,228,نت فودافون علم صبر,negative
229,229,عصام سلطان فضل عامل نفس منشق ضد اخوان ثوره اتضح انشق حزن,negative
230,230,تاجل تيجي جميل عمل قعر مجلس كبير عائله بس هتقول ايه غباء سياسي صنع,negative
231,231,باين جن امن دوله مفضوح,negative
232,232,سامي عبث تاريخ زعيم اكبر افراح فوز طول اولمبي ارحل,neutral
233,233,مدير جامع استنكر ثناء اردوغان اعتبر تركيا دوله فاسد فاسق فاجر نشر رذيله عسير السعوديه,negative
234,234,انكر احد ضرور اجراء اصلاح شامل قضاء سواء تعين بدايه محاسبه داخل قضاءلهذا تقدم,neutral
235,235,جبان كذب علن احد عسكر لم حكم مصر اخر طالب خضوع مصر جيش استشاره حاج خص,negative
237,237,انقلاب اغلق مسجد نصر رفح اظلم منع مسجد الله ذكر اسم سعي خراب انتظر عقاب الله,negative
238,238,مبادر دستور باطل تعريف شارع مساءه اقتصاديه اجتماعيه دستور ببساطهريتويت بق مره الا,negative
239,239,سكت بذاء شيخ مؤيد تطاول عرض منبر فرح كثير تكت نار بذاءه سفاله,negative
240,240,كذب حقير هرم عربيمرسي طبع جنيه بنك مركزي اسف استنكر رفض تعقيب,negative
241,241,انتقاص صلاحيه برلمان منتخب اعطاء صلاحيه تشريعي مجلس استشاري معين امر انبغي مؤمن ديمقراطيه رفض,negative
242,242,قانون منع تظاهروالاعتصام مزمع اصدار حسم امرامام متردد واجه سلط قمعي مشروع استهان حريه رام حق مصر,negative
243,243,اسماعليه قليل حافل ختم مؤتمر جماهيري دفء مشعر اهل اسماعليه هون برود جو,positive
244,244,اعرفوهمانقلابمصريسقطحكمالعسكر داخليهبلطجيه شهداءالحريه شهيد محمد فتح بنيسويف,neutral
246,246,اختلال مفزع معاير حكم امر مجال مصر بلد عربي,negative
250,250,امريكان اكتشفو امكاني وجود ماء مريخ مصر اكتشفو جنيه فول جنيه وحد اكتر,neutral
251,251,شاهد اخر كلام مسح كلام طب مسح دم جبه حق مات,negative
252,252,عاوز اعمل مجتمع ربعاوي بعيد فل عاوز فل شعب اخلاق تحاسب,negative
254,254,حكومه التزم قانون اسف حقيق,negative
255,255,القي اليم تخافي حزن رادو وجاعلوه مرسل ايه بعث امل,positive
256,256,صباح غباء خلط نقاء غباء ثوري نتيجه حزب وطني نيولوك حريهللمعتقلين ماهر دوم عادل,negative
257,257,مشكله عامل تفاقم ضرور حوار ثلاثي عاجل حكومه صاحب عمل نقابه عماليه وضع متوازن يحفز انتاج حق عامل,neutral
258,258,ياجعل درب تساهيل فوز فالك نصرالشباب نصراويلاتكلمني,positive
259,259,ايموشنموجب قص عشق فهم الا نجوانيون هلافبراير,positive
260,260,تقدم شعب مصري خالص شكر امتنان مشير سيسي مجهود جبار حل نزاع وطني مرتضي منصور احمد شوبير هاشتاج,positive
261,261,حركهكايدينهم مصر قولكلمهللسيسيوخدفولوهديه ياسيسي ياجامد سانتخبالسيسي تحيامصر,positive
262,262,راتبمايكفيالحاجه اتحاد هلال نصر اهلي مرسي,negative
265,265,مدينه روجيه عوطهنينا هاغن عجين فم متهكم غناءالصراخ غناء فن ثقاف,neutral
266,266,اقترب موعد بدء حمله انتخابيه تغير لغ حوار خطاب حزب سياس عنف لفظي,negative
268,268,مشروب غازي كو حافظمشفاهم,negative
269,269,مرسي سمع تهديد بلاك بلوك اقتحام قصر معلي سور قصر طوب احمر فين فتح صدر يا سجين قصر,negative
270,270,مصحف مرتضي منصور يتلكك ميدو زمالك,negative
271,271,حلوه تعدي قوام انتا اسمك التاريخ نور مكتوب ابوتريكه,positive
272,272,مازلنا عاش عهد لافعل,negative
273,273,ثوره اراد تحرير عقل تلفزيون مصري اراد غاب عقل ثوره انتصر,neutral
274,274,تجاهل اعلام حقير ضحيه معدي قنا غرق نيل كشف انهيار حق مرسي ولوله دمعه ركبه كد يا,negative
275,275,دراما مصريه تقدم مبهر مسلسل نيرانصديقه رائع,positive
276,276,ما الله اعلم كلام زوج شهيد طارق اقطش كلام اراد حل دائم جذريسلام,neutral
277,277,سبيل نكد اسم جاي النهارده,negative
278,278,رجل مرسيرئيسي كانوارجال شعبيردتحيهالرئيس اناحازم سنحياكراما,positive
279,279,اعتقال ناشط يساري هيثم محمد كشف وضوح عسكر استهدف مد ثوري لون انتماء,negative
280,280,ماعنديش راي مخ لسان دي مصيب الل فكر قول زف اعتراف,negative
281,281,كفاي سياس بقي,negative
283,283,نقطه اخير قانون تظاهر احتاج اعاد نظر عقوبه ببلاوي اصدر عهد نفس ارائيتم وصل عبث عقل,negative
284,284,ابو فتح مشكله احتاج قرار اداري حكومه حاليه ضعيف درج استطاع اتخاذ قرار بد سرع,negative
285,285,اغلب اكاديمين حمل دكتوراه نتمني مجلسالوزراء جمع اكاديمي ناجح قطاع خاص,neutral
286,286,اعلام عار ساند منتخب مصر غانه نسب فوز سيسي خسر سته تجاهل اهلي كره ابو تريك فز كاس,negative
287,287,مظاهره سفار اماراتعاهرهالخليج جمعهالحسم راجع انقلابالعسكري,negative
288,288,يا حمد جمع شمل اسره,positive
289,289,امكن مسح شريط سجل جريمه عادلي لماذا عادلي ضحك سعاد اثناء محاكمه اتمني الا اجاب سؤال,negative
290,290,تاجر دين كذب اعتدي ويتواطئون زار استفتاء اقام صلاه انفصال كامل عقيده سلوك استدعي تامل احتاج علاج نفس,negative
291,291,طريق اسوان مر ودع كريم مجدي يعقوب حضور افتتاح مبني جديد مستشفي قلب,positive
292,292,واضح نسب لحم عالم مسموم الا لحم مفتي شيخ ازهر,negative
294,294,ناس نشوف لون ناس جو بيبان ناس اسود ناس ابيض ناس محتاج بس امان صلاحجاهين,neutral
295,295,علاء اسواني حافظ رئيس مرسي اعلام مبارك فاسد استغل مصلحه مقال كامل,negative
296,296,يا غنو مبتكملش يا دمعه يا محبوس ما حلم حلم بقي يتقلبلي كابوس محمدمحسن,negative
297,297,وجب بدا حمل توعي حث ناس تصويت كثر,positive
298,298,قلب وطن مجروح احتمل دين عسكر منير,negative
299,299,مصري حزام ناسف شروق سيار مستفخخه هرم شنط مدرسه قوم اوقف نت بتكلمني,negative
301,301,مفسد عادل فقيه عادل فقيه وزيرللصحه,negative
302,302,هلافبراير اليس روتانا مصري مخنوق رفش,positive
303,303,صامت انقلاب رجل شاهد خيان زوجه شرب عصير ليمون سئلماذا فعل قالعملو ليمون نفس,negative
304,304,اعترف سفير ادان مواطن جري تحقيق محايد عادل عرف السعوديه سفير مبارك سفير مصر ابد,negative
305,305,تريك معني رمز حلو مصر شعب شعب بياد طرطور لاوي مطرب رقاص,neutral
306,306,درس عربي ريف بيدعيلكوا محمدمحسن مستر ممدوح بيدعيلكوا رد,positive
308,308,عبد منعم ابو فتح جمال عبد ناصر اعلي شاب نكس برنامج ضمير قنا دريم,positive
310,310,قتل صحيفه ابرياء اعتقال سجن صحيفه ظلم ترهيب صحيفه منع عمل صحاف رقص نص,negative
311,311,يا مغيب,negative
313,313,شارك معانافي هاشتاج ده محبيحازمعبدالعظيمضدالخونه عايزينه تريند ريتويت جيشتويتر سانتخبالسيسي باسمطلعحرامي,neutral
316,316,جوله مدين بدر اسعد شد لقاء مواطن عامل مصنع قاعد عامل حقيقي اسهم فعال نمي دائر,positive
317,317,ناس واقف شوم شارع مؤديه تحرير توقف ناس عشوائي وقف عربيه قدام واتجمهروا داعي,negative
318,318,ظن مجموع قادر تحريك مصري ساذج واهم شعب جبار,neutral
319,319,غاي ماتبنوا كنايس جامع بيت قلب مفتوح تنوروها وتنورونا,positive
321,321,حمدين فرصه ضعيف ابو فتح اقوي سسسس,negative
322,322,تيار قضي استقلال مجموع وجب استقل ابد شكك انتمائ جماع مسلم,neutral
323,323,اوباما ميانمار نجح استمر قمع اقليه مسلمه عربي مسلميالروهينجا,negative
324,324,مصر شعب وطن اثر حادث وراق ارهابي خالص عزاء اسره ضحيه سلام روح مريم اغتال يد غدر,neutral
325,325,كلام شهيد محمد مصطفي اجاب اخر مرسي كذب وعد,negative
326,326,عني ما بيعرفش قرا هراء عبث راي كتاب ادني مجهود شرح خاص هياثر حياه حياه كمان,negative
327,327,مفيش حاج اسم عيب حاج اسم حرام خوف بيكون ناس,neutral
328,328,شفت شي حياه بس مر اشوف شب حامل طبل رابيه طبل عشان عشناوشفنا,negative
329,329,تهمه مصر عني دمشق تشقين غز قتل بغداد احب يمن نخشي ليبيا قطر نهوض,positive
331,331,ناشرونالاخباريه حمديقنديل قانون طعن عقد دا طراطير شعب طرطور حكومه مجلس دوله شعب طرطو,negative
332,332,مشكل وقف وسط محاول انتقاد تعصب ثناء تزلف عرض هجوم مؤيد معارض طول خط,neutral
333,333,اسال برادعي فعل عراق برادعيطلعجاسوس باسمطلعحرامي,negative
336,336,نحي شاب حزب وسط مجهود رائع انتخاب حصول حزب ما قرب صوت صوت اقتناع,positive
337,337,امكن ناس تصدق اكذوبه فل لم مرسي تحدث مصلحه وطنيه شريف حزب وطني مد اياديخلصت,neutral
339,339,متحمس شخصيه جديد حمدالعماني نجاح شخصي يوسف تواليالليل جمهور ما,positive
