,Unnamed: 0,tweet,sentiment
61,61,النهارده تحقيق استقصاء عبقري فساد البورصه المصريللاسف زحم احداث,positive
62,62,استمرار حراك طلاب جامعهالمنصوره مفيشعساكريحكمونا,negative
63,63,كبر معوق خازوق اخوان شايف دهي جبي كمل مشوار,negative
64,64,راجل بتاع الامن بينف معدل افتي دقايق فتح شبابيك عش السقعه اشتكي مرار تكرار لاه عموم شعب معفن,negative
65,65,حظ عوالم الاهليالافريقي,negative
66,66,منهج انقلاب قتل قمع سجن معارض اعلام فاسد قضاء مسيس ارتفاع للاسعار اقتصاد انهار عزل دولي شح خليج,negative
67,67,كلاب اوفياء رجاء اهانه,positive
68,68,الشريعه احكام كتب فا رسول غلط ربط ماش خوف حرص المعلومه تكون صاح,neutral
70,70,قتل مصاب محافظ مختلف مقدم كارثه اقتتال حذر دوم انبغي رفض مواجه دم,negative
71,71,نفس تف فيفيعبده,negative
72,72,اعجب فيديو صاحبهالسعاده ابراهيمعيسي واقع,positive
73,73,الله بارك الحمدلله شدو رحال ادان ليفربول واثق عظيم مورينهو صيعري صحاف اعلام,positive
74,74,دهي بيقوللك سوره حاج بيقوللك عبد البياده نفس الجمله بيهين جيش,negative
75,75,انتخب شفيق ليسوا بالضروره فلول فلول بساط اشترك استفاد فساد مبار يم للثوره تحالف لان ضد,negative
76,76,مصر انقلاب طالب مقعد دائم دول العربيه مجلس الامن بينما مصر عرب ضعف حال مريض طالب اتحاد,negative
77,77,الطبقه المتوسطه عليا مصر ذهب كتاب مثقف مصر بحث مزيج نادر اتفق طبيعه,positive
78,78,عمال مصر عماد وطن تكرار الاعتداء عمال اكد دول مبار لم اسقط واني تغير وجوه,negative
81,81,مناضل حمدينصباحي اظل ناضل ناضل حت وجد نفس محكوم اعدام تهم ممارس نضال مكان كره تشوف,positive
83,83,انصار الحريه والديمقراطيه اوروبا وضع الشجاعه شيا اخر نادي ايطالي انتظر موقف انقلاب عبد ظاهر,neutral
84,84,معظم الاخواان مشاركوش الهشتااج المسئ للسيسي كد بقي الاخوان باع مر مر محمدمحمود مر هشتاجهشتوج,negative
85,85,بارك,positive
86,86,استخدام مساجد عمل سياسه نشر عنف,negative
87,87,عفو مبار نظام رساله شعب رئيس قادم اعال سرق استبد ذل مبار,negative
90,90,مهو يصتبح جدول امتحان دهي مفروض بقي هيبقي عامل ازاي,negative
91,91,عمر شوفت استفتاء دستور اطاح مبادئ الدستوريه المساواه تكافؤ فرص قواعد مرحل الاقتراع اداره,negative
92,92,ايماننا امحق تهديد واصل نضال سلم شعب مصر شباب ثائر استكمال ثوره قصاص دماء شهداء وفاء روح شهيد محمدالجندي,positive
93,93,تذكر نبيل مصطف نبيل كاتب كبير رزق ونتمني تذكر باحث اعلام موتهرحمه الله,positive
94,94,لم ممارس فاضح ازدواج معاير خوي معارض امل ابتلع قطاع راي طعم مجدد,negative
95,95,ازاي برادع اقول هولوكوست ماس انسانيه باذ ممكن كوي نبي سلف متطرف طالب عود اليهودايهده عصام عري,negative
96,96,الاخر حد رمق المعارضه يم نزل انتخاب شعب شار بيتقبض غاي ما تخلص خارط طريق سهل,negative
98,98,الاسواني اوجد فرق ارهاب الكنيسه الكاثوليكيه اندلس يد راهب بليد ارهاب سام لاد,negative
100,100,فهم قانون كثر فقيه دستور ثرا بدو عاطف لبن والاستاذ جمال عيد ايد قرار رئيس عود برلمان,positive
101,101,انقلاب اعادنا بعيد حر الضائعه تخلف زحف قطاع كره تشوف مصر,negative
102,102,نبضرابعه شاهد معتقل مني قاع المحكمه هتف ساخر قاضي فضيح زوج مدرب الكراتيه,negative
103,103,لم دعم مرس قاطع انتخاب اعتراض عزل شفيق محاكم مرس الفائز طبق تقارير القضاه مستقل الثوره اخلاص للحقيقه,neutral
106,106,موقف الاخوان جو برلمانهمشلت بلطج جنيهشريط ترمدولوجباتنتذكر سو السادهالمحترمون,negative
107,107,اراد فعل دين تجار دين تحيامصر نتخ,neutral
108,108,ممكن كوي مرس مختفي الفتره دي عش ماش لاقي شاحن راخر اه يادوله العكاكين,negative
109,109,فرح اللمه خروج ضحكالسنين غن تصوير اللفبالعربيه شارع صبح الخبره عمرالمسخره انبساط شيخ,positive
110,110,عبد ناصر عمل وحد سوري بدا ياميش وسي هيعمل وحد اسرائيل بدا طماطم,neutral
111,111,اخر ساعي يومالجمعه اللهم سال عيش سعداء موت شهداء فردوس الاعلي جن جن عدن اللهم امين,positive
112,112,يالله ساعي مطر استجاب دعوات عادل,positive
113,113,دور السيسي مرارطافح,negative
114,114,زير الغلابه باسمعوده معتقل سجون عسكر لان حلم تقديم افضلمنتجلاكرمشعب انامشرقم انتفاضهالسجون,neutral
115,115,قلم عقب محمد محمود مجد ابطال محمد محمودهتفضل مصر شايله جميل دائم ابدا,positive
116,116,كفايه اسفاف,negative
117,117,الليسريفودهمعملهمشريتويت دي تن عش انقسم عادي العب,negative
118,118,اتفق رجال عرف حق عرف حق رجال,positive
119,119,السيسي لام خطاب دين مرتبط عصر ما حق ضرر قطاع السياحه مصر مرس الاخوان السعوديه الامارا,negative
120,120,حب بيبقي نور قدام حلو بكتر كلام الموبايل ليل نكي تستخبي هلك,neutral
122,122,هاجم مرس انه كثر الرئاسه بل كذاب مخلف وعود رقبه دماء شبابلا سم خرف حت خروف استحيا دافع كذاب,negative
123,123,عاجبني الايجابيه الخايبه بتاعه رفاق طيب خله ايجاب شوي حنك سياسه منظر ماش ستريبتيز مجان دهي مرارطافح ثور,negative
124,124,نتمني رئيس وزراء عصام شرف شفاء عاجل نتمني الا كوي مرض مرض سياسي,neutral
125,125,اعتز مصر صعيد,positive
126,126,عار عار عار عار عار عار مانح عار دماء نهار شهداء رصاص راس والرقبه صدر,negative
128,128,بلطج اخوان والاعتداء اعلام محيط اكاديميه الشرطه السادهالمحترمون,negative
129,129,رد اراد مصر السياسه برلمان قادم فاهم ضرر احدث ثقاف عي سياسه بلغه اساليب,negative
131,131,لابد حمل انتخابيه الارض تواصل ناخب ناخب اعتمد فقط الصحافه والتليفزيون,neutral
133,133,اتمني تكون قوه الاسلاميه والليبراليه واليساريه راغب فعل تشكيل قائم طن موحد خوض انتخاب البرلمانيه القادمه,positive
134,134,ماش فا اكتري لفا متابع مجرد نهو حاطط صور محور اسم ريبورت سبام فضل,negative
135,135,فضيح تان لاس ماس مستشف راسي سدر عرف الدوله حدود جن لم يتم صرف,negative
136,136,اردوجان مستمر نهج حاول لاث مد ثوره مصر يوسفالحسيني السادهال,negative
137,137,هنلف نفس النقطهلما تقول ثور مضاد بقي ماتكلمنيش تفكير علم والمنطقيبس دهي,negative
138,138,حمدينصباحي بيقول برنامج هيتحقق شهور بس مقالش هيبقي طبيعه قيصر مستشف ايه الرحمه يا,negative
139,139,وقف قانون عزل جمد بلاغ فساد ضد شفيق هدر طعون تزوير جري انتخاب نزيه تطبيق قانون مقاطع شامل,negative
140,140,عارف مجموع الشيوعين بالاسم بقا قدم بلاغ ولاتنشر كلام عواهنهكلامك واضح يارجل حوار,negative
141,141,زول ظلم طوع حنان ضعاف رس قوم اهب اصطفاف غزهتحتالقصف,neutral
142,142,ابراهيم صلاح ضحي هلال سعودي اتحاد واختار زمالك زملكاوي,positive
143,143,عزل اجبار رئيس مدن منتخب كنت اتم حدث احترام اخوان جوهر حقيق للديمقراطيه متمثل طلب شعب تغير,negative
144,144,شيخ حازم بوي اسماعيل ردي تو برهامي الاخيره فك الله سرا يا بطل تعلم منهج دين حق,positive
145,145,يا عزيز حاول كثر مر فات موافق كلم جدا اجابه شافيهدلوقتي برنامج خلص خلاص,neutral
146,146,حطنفسكمكانالبنت بقي تسمع شتايم قذر ناس قذر شارع اساس الولاد دهي بتهزر,negative
147,147,امريكا دلوقتي محط النويه شغال برامج فضاء شغال ابحاث العلميه والاستديوهات مصانع احزاب حركه الرفضانت بق شغال ايه,negative
148,148,اطالب عزل شفيق محاكم عمل انتخاب نظيف تحقيق تزوير استبعاد اصوات الباطله والاعاده مقاطع المهزله,negative
150,150,سقط ابد مقول تيار الديمقراطيه شعب اخوان حلفاء احتكار الاراده الشعبيه توكيل صناديق,neutral
151,151,شمس الحريه تناد يا طن يا طن غالي ولي خن انتخبوالعرص ريتويت,neutral
152,152,حوك,negative
153,153,بواب اهرام اسلوب حقير للصهاينه استخدم اخرين,negative
154,154,ماقل محمود سعد راد ادار حقيق ذوب الاستقرار راج لهتصبحوا خير,negative
155,155,برود اسلوبحياه,negative
156,156,اخوان جماع ارهاب قتل,negative
157,157,يا فلول يا المره تفويضكوم جاب وره مكمل مرسيرئيسي,neutral
158,158,سما خلاف السياسيه والحزبيه فقط المصلحه الوطنيه انتصر ثوره كون مصر قوه الله,positive
159,159,صبح مصطف بكره متحدث اسم مجلس عسكر علم كثير جبي عمل حت تنجح ثوره,negative
160,160,لون رماد محل الاعراب يا ابيض يا اسود علمتنيالثوره,negative
161,161,اثار تخريب كنيس مارجرجس حرق بيوت اقباط بقر دلج اعتداء اخوان السادهالمحترمون,negative
162,162,شيء ابر احاله مدن قضاء عسكر حت البلطجيه قضاء مدن فيل,negative
164,164,هدم نفس عش تبن مستقبل التعليمفيمصر,negative
165,165,يامن تحدث اسم الاسلام القي خالف راي صندوق قمام بذاءه كثير شتم كثر اسلاما لان مهذب,neutral
166,166,مصرالقويه حذر حزب مصر القويه زل حذر خطوره سلط الدوله مجرد سند سلط عسكر تف الس,negative
167,167,مازالت المشكله داعي راي اجتمع اسم تجمع تيار تيار شعبي قود عقل,neutral
168,168,دولهالتعريص عسكر حرام,negative
169,169,استطاع رئيس مرس تنصل مسئوليته الغاء عرض مسرح مسرح الدوله قرار امن قوه الرئيساين عود رئيس حر ابداع,negative
170,170,بالنسبه شامخ دهي دلع نقول يا ابو شامخ,negative
171,171,العمليه نسر لم فشل نسر هرب طائر النهضه عش تجوز عرف راجع,negative
173,173,الاسوانيلماذا اصر ولايه المتحده استمرار دعم مرس للنهايه رغم قتل مصر قمع تظاهر,negative
174,174,انصارالمعزول اعد ضرب تعذيب صحف جريد توي محمد ممتاز,negative
176,176,تنظيم دولي اخوان تعلم يد رامسفيلد حرب فت كلاموكلام يوسفالحسيني,negative
177,177,اخوان بيزايدوا بتوع الاتحاديه طب جمل ماش هننزل تظاهر اخوان دي ايه رز لبن,negative
178,178,حاولماتبقاش والد بيصاحب ماه الاخر هتجوز استرجل بق,negative
179,179,الاهلي اسلوبحياه,positive
180,180,الله انور يا دهي تفكير عايزينه ماش مسجد كنيس,positive
181,181,للمره الاولي اتي جيش حبيب شعب الاغلبيه كاره غاضب خائف مندهش ثار,negative
183,183,ابو فتوح رقاب الدوله افكار ناس مؤمن منافق ما لانريده,negative
184,184,مقدور حدا اعاد مصر حظيره خوف الثوره كسر حاجز خوف ابد تراجع مطالب الثوره صدر ضد لفا حكم,positive
187,187,الطاقه البشريه ما حسن استغلال رصيد عبا قوه,positive
188,188,سم امل قص سقراط النميمه ايام اسف كثر شائع والنميمه كثير الا رحم,negative
189,189,اولادميتعقبه زمالك حبالابيضغير,positive
190,190,استمع عمال حق انشاء نقاب مستقل عقود مؤق استبعاد مرشح الاتخابات النقابيه جود حد انسان لللاجور,negative
191,191,احن حا عمل جلسه مجلس شعب لاه ما اخوان بيخلصوا حاج مكاتب حوج للزحمه مصاريف,negative
192,192,رحم الله شهداء واجب وطن حدود وادع جناز شعب حاشد ضد الارهاب والطائفيه دم مصر حرام,neutral
193,193,طبع رئيس طلق جماع بلطج عتد سحل ضرب بلد رئيس فاقد للشرعيه تمام,negative
194,194,شكر,positive
195,195,اسماء لجن متهم بالنيابه عامه باشر تحقيق كشف حقائق كامل راي حمل اطراف مسئولياتها توضيح,neutral
196,196,محاضر صحاب جليل خليف رسول الله عثمانبنعفان ذوالنورين اذاعهالقران,positive
197,197,غلط شوف الاعلام بتاعهم بيمسكوا حاج حت تافه,negative
198,198,قلب وافراحه الشبابالاهلي,positive
199,199,موقف محترم حذر خالد طلال عبد عزيز عضو العائله المالكه بالسعوديه اجازه خروج رئيس مرس,positive
200,200,اصحاب محل شرم احتفل انقلاب واذاعوا تسلم الايادي تظاهر ضد انقلاب كره تشوف مصر,negative
201,201,حال مر متشرف انه كون مدين المحله كبر احياء حدا الافراح قليل,positive
202,202,لم حدث ذب افتراء,negative
203,203,حاجهتستاهلالحمد حاج اكيد,positive
204,204,ذاتمومنت موبايلك غطس البطنيه قعد ادور ما تلقشي واخر حاج نفض البطنيه قعد الموبايل ايتخبط فيالوطي اصلا,negative
205,205,هد باستمرار ارهاب عمله قتل حت عود مرس اعتقد مد قانون سجن انتظاره,negative
206,206,اهالي عزبهالنخل فضح السيسي حمل عمل توكيل للسيسي,negative
207,207,حيي شيخ حسن عبد بصير مسجد جابر رفض تعليم اوقاف نفاق مرس خطب الجمعهتعلموا الاستقامه الاخوان كاذب,neutral
208,208,ادعي دين نشر اكاذيب لم كني ابدا عضو وطن انتمي تاجر دين,negative
209,209,باص حوالي هتعرف نكي حسن ناس كتير عش دهي لازم تقول الحمدلله,positive
210,210,اكشنيادوري النصرالاهلي نصر شي ماينتسوي فاز صدر رغم صعوبه موت ياجماهير حو نصر هيهات,neutral
211,211,كنت واثق احداث دماء سالت تكون اثارلكني لم اتخيل ابدا انها تصبح وقود لهب مشاعر ملا احيا,neutral
212,212,مرس موحد فتن,negative
214,214,نيويورك تايمز انقلاب دراكولا بطش بالصحافه,negative
215,215,استمرار تطور تجديد كوادر تنظيم مسلح جماع اخوان الارهابيه السادهالمحترمون,negative
216,216,الببلاوي انتخبوالعرص الهاشتاج,negative
217,217,الليرافضينالسيسيرئيسبيعملوافولوالبعض مرسيرئيسي انتخبوالعرص سيناءخارجالتغطيه سانتخبالسيسي,neutral
218,218,وماحدش هيضيع بلد جبان واط حقير لذم عمر ما بيقبل نفس ما كتر ما خائف جبان,negative
219,219,مفيش حاج اسم دول طن حاج اسم الجماعه تنظيم طز مصر السادهالمحترمون,negative
221,221,مال سمك اسكندريه يافندم طب الله مبالغ فات عالم مالقيت مثيل توسل اليكي ماتحطميش اسطوره الخاصه,positive
222,222,اعتقال كالامطار مبرر انقلاب رفض حضور محام تحقيق النيابه,negative
223,223,عبد منعم بوي فتوح اعداء مصري خارج داخل دبر مؤامره لاجهاض ثور,negative
224,224,قدام بيت ايموشنموجب ربيع جمال نيويورك بيت مبتعث,positive
225,225,صراح ناس بيبقي نفس تقول يل مركب اودي يا ريت تقلب تود رخام,negative
226,226,جزار فاشل حضر سكين ذبح باش فداء اكتشف المشكله عمق شل اشخاص مشكل شل سياسه,negative
227,227,النصرالفيصلي عظيم جمهور الله سعد حاضر والغايبين,positive
228,228,نات فودافون بيعلم صبر,negative
229,229,عصام سلط فضل سنوات عامل نفس منشق ضد الاخوان عد الثوره اتضح نهم انشق حزن,negative
230,230,كنت تاجل وتيجي جميل عمل قعر مجلس كبير العائله بس هتقول ايه غباء سياسه صنع,negative
231,231,باين جن دول مفضوح جدا,negative
232,232,سام عبث تاريخ زعيم كبر افراحنا فوز ببطوله اولمبي رحل,neutral
233,233,مدير جامع استنكر ثناء اردوغان اعتبر ترك دول فاسد فاسق فاجر تنشر الرذيله عسير السعوديه,negative
234,234,نكر احد ضروره اجراء اصلاح شامل قضاء سواء كاف تعين البدايه حت كاف المحاسبه داخل القضاءلهذا تقدم,neutral
235,235,جبناء كذب حدا اقول عسكر لم حكم مصر اخر طالب خضوع مصر جيش استشاره حاج خاص,negative
237,237,انقلاب غلق مسجد نصر رفح ظلم منع مساجد الله ذكر اسم سعه خراب انتظر عقاب الله,negative
238,238,مبادر دستور باطل تعريف شارع مساوئ الاقتصاديه الاجتماعيه دستور ببساطهريتويت بق مر لاي,negative
239,239,اسكت اخوان بذاءه شيوخ مؤيد تطاول اعراض منابر فرح كثير كت نار البذاءه والسفاله,negative
240,240,ذب حقير الاهرام العربيمرسي طبع جن بنك مركز اسف استنكر رفض تعقيب,negative
241,241,انتقاص صلاحيه برلمان منتخب واعطاء صلاحيه تشريع مجلس استشاره معين امر انبغي مؤمن بالديمقراطيه رفض,negative
242,242,قانون منع التظاهروالاعتصام مزمع اصدار حسم امرامام متردد واجه سلط قمع مشروع سته حر كرام حقوق مصر,negative
243,243,الاسماعليه قليل حافل ختم مؤتمر جماهير دفء مشاعر الاسماعليه هون برود جو,positive
244,244,اعرفوهمانقلابمصريسقطحكمالعسكر الداخليهبلطجيه شهداءالحريه شهيد محمد فتحه بنيسويف,neutral
246,246,ايام ايام اختلال مفزع معاير حكم امور مجال مصر بلاد عرب,negative
250,250,الامريكان اكتشف امكان جود مياه مريخ مصر اكتشف جن فول جن وحد اكتري,neutral
251,251,شاهد اخر كلام مسح كلام طب مسح دم جبي حق مات,negative
252,252,عايزه عمل مجتمع ربعاوي بعيد فلول عايزهم فلول شعب اخلاق حاسب,negative
254,254,الحكومه التزم قانون اسف حقيق,negative
255,255,الق يم اخاف حزن راد جاعل مرسل الايه بعث امل,positive
256,256,صباح غباء خلط نقاء غباء ثوره النتيجه حزب طن نيولوك الحريهللمعتقلين ماهر دوم عادل,negative
257,257,مشاكل عمال تفاقم ضروره حوار ثلاثه عاجل الحكومه اصحاب اعمال نقاب العماليه وضع متوازن حفز انتاج حقوق عمال,neutral
258,258,ياجعل درب تساهيل فوز فالك النصرالشباب نصراويلاتكلمني,positive
259,259,ايموشنموجب نتا قص عشق فهم النجوانيون هلافبراير,positive
260,260,تقدم شعب مصر خالص شكر امتنان مشير السيسي مجهود جبار حل نزاع وطن مرتضي منصور حمد شوبير هاشتاج,positive
261,261,حركهكايدينهم مصر قولكلمهللسيسيوخدفولوهديه ياسيسي ياجامد سانتخبالسيسي تحيامصر,positive
262,262,الراتبمايكفيالحاجه اتحاد هلال نصر الاهلي مرس,negative
265,265,مدن روج عوطهنينا هاغن عجين فم متهكم غناءالصراخ غناء فن ثقاف,neutral
266,266,اقترب موعد بدء حمل الانتخابيه تغير لاغ حوار خطاب احزاب والسياسين عنف فظ,negative
268,268,مشروب غاز كوي حافظمشفاهم,negative
269,269,مرس سمع تهديد بلاك بل اقتحام قصر معلي سور قصر طوب احمر وفي فتح صدر يا سجين قصر,negative
270,270,مصحف مرتضي منصور بيتلكك ميدو زمال,negative
271,271,سن الحلوه بتعدي قوام انتا اسم التاريخ نور مكتوب ابوتريكه,positive
272,272,مازلنا اعاش عهد اللافعل,negative
273,273,الثوره اراد تحرير عقول تلفزيون مصر اراد تغيب عقول الثوره انتصر,neutral
274,274,تجاهل الاعلام حقير ضحايا معد قن غرق نيل كشف انهيار حق ايام مرس الولوله دموع ركب ماش دهي يا منه,negative
275,275,دراما المصريه تقدم مبهر مسلسل نيرانصديقه رائع جدا جدا,positive
276,276,ما الله علم كلام زوج شهيد طارق الاقطش كلام راد حل دائم والجذريسلام,neutral
277,277,سبيل نكد اسم ماش جاي النهارده,negative
278,278,كانو رجال مرسيرئيسي كانوارجال الشعبيردتحيهالرئيس اناحازم سنحياكراما,positive
279,279,اعتقال ناشط هيثم محمد كشف وضوح عسكر استهدف مد ثوره لون انتماءه,negative
280,280,ماعنديش تر مخ لسان دي مصيب الل فكر قول زفت اعتراف,negative
281,281,كفايه سياسه بق,negative
283,283,نقط اخير قانون تظاهر احتاج نظر عقوبه اقول الببلاوي صدر عهد نفس ارائيتم وصل عبث عقول,negative
284,284,ابو فتوح مشكل احتاج قرار اداري والحكومه الحاليه ضعيف درج انها استطاع اتخاذ قرار باد سرع,negative
285,285,وزراء غلب اكاديمين حمل دكتوراه نتمني مجلسالوزراء جمع اكاديمي ناجح قطاع الخاص,neutral
286,286,اعلام عار ساند منتخب مصر غان انساب فوز لسيسي خسر سته تجاهل الاهلي كره بوي تريكه فز كاسي,negative
287,287,مظاهره سفار الاماراتعاهرهالخليج جمعهالحسم راجع الانقلابالعسكري,negative
288,288,يا حمد جمع شمل اسره,positive
289,289,يم مسح شرائط سجل جرائم عادل لماذا عادل ضحك سعاد اثناء محاكم اتمني تكون اجابه سؤال,negative
290,290,تجار دين كذب عتد ويتواطئون زور استفتاء اقام الصلاه انفصال كامل العقيده سلوك استدعي تامل احتاج علاج نفس,negative
291,291,طريق سواني مر بدع ريم مجد يعقوب حضور افتتاح مبني جديد مستشف قلب,positive
292,292,واضح بالنسبه لحوم علماء مسموم لحوم مفتي شيخ الازهر,negative
294,294,ناس بنشوفها بالالوان ناس جو ماش بيبان ناس اسود ناس ابيض ناس محتاج بس امان صلاحجاهين,neutral
295,295,علاء الاسواني حافظ رئيس مرس اعلام مبار فاسد استغل مصلح مقال كامل,negative
296,296,يا غني مبتكملش يا دمع يا محبوس لاه ما حلم حلم بق يتقلبلي كابوس محمدمحسن,negative
297,297,جبي ابدا حمل اوعي حث ناس تصويت كثر,positive
298,298,قلب وطن مجروح احتمل دين عسكر منير,negative
299,299,مصر بيقول حزام ناسف شروق بيقول سيار مستفخخه اهرام بيقول شنطه مدارس قوم اوقف وني بتكلمني,negative
301,301,مفسد عادل فقيه عادل فقيه وزيرللصحه,negative
302,302,هلافبراير روي مصر مخنوق رفش,positive
303,303,صامت انقلاب رجل شاهد خيانه زوج شرب عصير ليمون سئلماذا قالعملو ليمون نفس,negative
304,304,اعترف سفير يد مواطن جري تحقيق محايد عادل تعرف السعوديه سفير مبار سفير مصر ابدا,negative
305,305,تريكه معي رمز حلو مصر شعب شعب بياده طرطور مطرب رقاص,neutral
306,306,درس عرب ارياف بيدعيلكوا محمدمحسن ومستر ممدوح بيدعيلكوا برد,positive
308,308,عبد منعم ابو فتوح جمال عبد ناصر الاعلي شباب حت نكس برنامج ضمير قن دريم,positive
310,310,قتل صحف ابرياء اعتقال سجن صحف ظلم ترهيب صحف منع عمل حر الصحافه رقص نص,negative
311,311,يا مغيب,negative
313,313,شارك معانافي الهاشتاج دهي محبيحازمعبدالعظيمضدالخونه عايزينه تريند ريتويت جيشتويتر سانتخبالسيسي باسمطلعحرامي,neutral
316,316,جول مدين در اسعد شد لقاء مواطن عمال مصانع قاعد عماله حقيق اسهم فعال نمي الدائره,positive
317,317,ناس واقف بشوم شوارع المؤديه تحرير توقف ناس عشواء قفي العربيه قدام واتجمهروا داعي,negative
318,318,ظن مجموع قادر تحري مصر ساذج واهم شعب جبار,neutral
319,319,غاي ماتبنوا الكنايس جوامع بيوت قلوب عيون مفتوح لاك تنور تنور,positive
321,321,حمد فرص ضعيف ابو فتوح قوه عد فسسسسس,negative
322,322,تيار قض الاستقلال مجموع اشخاص جبي الا استقال ابدا بمن شاك انتمائهم جماع اخوان مسلم,neutral
323,323,اوباما ميانمار تنجح استمر قمع الاقليه المسلمه عرب مسلميالروهينجا,negative
324,324,مصر شعب وطن اثر حادث وراق ارهاب خالص عزاء اسر ضحايا سلام روح ابنتي مريم اغتالتها يد غدر,neutral
325,325,كلام شهيد محمد مصطف بيجيب اخر مرس ذب عود,negative
326,326,عني ما بيعرفش اقرا هراء عبث راي كتاب دن مجهود شرح خاص هياثر,negative
327,327,مفيش حاج اسم عيب حاج اسم حرام خوف ماش ناس,neutral
