tweet,label
حال انا مصدوم عاطف نفس جسد لا هيش ماهذا,surprise
دعاء لاهلنا ب حلب هم حاج له هم تعرض قصف شرس نسال الله ان حفظ هناك عشر من شهداء جرح اسال الله ان تقبل ويشافيهم,sympathy
ماش عارف برازيل ازاي فاز تنظيم الاوليمبياد,surprise
امبارح كنت قول لو افترق طول حي دي نهاية وانهارده بقى قول موش عايز حد قدام أجاب سير,sadness
خلاص مهو دخل افكسو مالهاشتاج دهي كتب هاشتاج ترحيب باه فتويتر,joy
ايران تمول قن الحره عد معى ي ايران تر مابغي محا من الارض خلة حبايب بلاش مشاكل,anger
دهي فيديو حي,joy
بيل و روس لازم لعب غصب عن في سوبر,joy
ياربي خايفه من اختبار مر,fear
ان أقعى في حب عقول قبل وجوه,love
كل اما فتح اي قن بتذيع الاوليمبياد الاقي امريكا و لصى بيتنافسو ع ذهب في كل الالعاب الفرديه تقريب مفيش غيركو لا ايه ايموشنموجب ايموشنموجب,surprise
باقيلي دقيق في اول حلق من بل ميرور و خايفه اكملها من ال حيصير سند هيلب,fear
علاء بوى قاسم انصاب قبل الاوليمبياد و للاسف خسر انهارده لكن هو رض بطل و ماش هنتحبط لا ايموشنسالب,sadness
شكل دهي مفيهاش نوم وهنقعد تابع الاوليمبياد للصبحاو غالب احنا بق صبح,none
خايفه صفا جنب,fear
رب معى حسن من اي حد رب تولى بي رحمتو نقذ اطفال سرطان,sympathy
صرخة حطم كهنوت سيستان سيستان لم واجه السلطه الفاسده,anger
انتقال عجيب عقيل خزعل من مذيع باق افاق التابعه مالك ال زير داخلي كال لاعجب هذه دول ملشيات,anger
ي الله ايموشنسالب كان الله في عون الله صور موجع لابعد حد ايموشنسالب ايموشنسالب ايموشنسالب,sympathy
الماتش جاي قدام سويد واحد من لي تنافس علي ذهب ف الاوليمبياد عنى علي منتخب السلانكتيه ايموشنموجب,surprise
انا بقى خايفه من رب درج ان خايفه صلا بعد مكن فكر صحاب بالصلاه ورب بقى انا لي خافي من بعد,fear
جاريدو ماش مدرب دهي بتاع بطيخ فضح لاه تشمت في الزملكاويه لي هما اصلا متعود ع الخساره لاه كد ياخي دي عمر ماحصلت,anger
ماشاء الله محمد كور نظيف الله زي شيف متوازن دفاع هجوم شاء برد قلب,joy
بس برد اللهم وفق باقة اولادنا في الايام لي جاي في الاوليمبياد رزق ذهب لا الفضه لا برونز,none
ايه دهي ازاي دهي رهيب,surprise
باي مور ابن الجزمه دهي ياخد ذهب لسن دي ذهب الاوليمبياد لي فات ايموشنسالب,none
زار التجاره دعا شركة المتاثره ارتفاع بنزين تقديم ادلتها مشدد علي ضروره تطبيق قانون علي مخالف الذين رفع الاسعاربشكل مصطنع,none
نتا حاج لو وجى بس مر كتف في جي عن كل حاج,love
جمل ماقيل حب بحر في حب الصحابه نبي قطف من بستان حت تكتف شرب من نهر حت ارتوى هناك خال من شوائب,love
اتاخرت قوة ياصلاح الاوليمبياد الجايه قرب تخلص ياخساره ياصلاح ياخسارهايموشنسالب,sadness
ثاني ميداليه مصر محمد ايهاب برونز رفع اثقال مصر في الاوليمبياد ري دي جانيرو,none
يا اول حب,love
ما جمل ان تنازل عن كل ممتع لحى و أجلس ساكت حيد متاملا منظر سماء في هدوء تام يوم جيم,joy
اللهم خفف عن جد كل ذر وجع أرهق نزل على زيل بها تعب يا رب عالم اللهم شفه خفف عن مرار ال,sympathy
الوليه المذيعه خايفه تكلم و خايفه من راي جمهور حد راح يا جماع,fear
جيش لج الشعبيه في جيزان سطر ملاحم كان الله في عون دعوات شعب يمن كل مستضعف عالم تناصر يا خير رجال الارض صدق,sympathy
لا بس واضح ان الحكومه مرعوب من تعويم جن و رفع دعم عن محروق في يوم واحد دي زي لي تقول,fear
مشكل غلب شعب خايف اذا فضح فساد راح وجى حرب دمار سرق هو مضطر طبل فساد والسرقه نطق حق بقى قبر حيد زياد رواتب قطر,fear
بتضحك عين كل دموع نعم يا ساد انا اعشق شير أحيا مكمل مع شير,joy
عشق لك لا انتهى ايموشنموجب,love
دهي احنا مبنلمسش الكوره,surprise
نرويج هدى فنلندا جبل في عيد استقلال اسال كثر,joy
البورتريكيه مونيك بويغ تصنع تاريخ تتويج بالذهبيه الاولي بلد في الاوليمبياد علي حساب نجل كيربر و براء,none
مرعب ابن متناكهايموشنسالب ايموشنسالب ايموشنسالب,fear
نيجيري جالد جزائر,surprise
سن كسب بطل عالم مر و الاوليمبياد مر يا جماع الله مبروك تونس لفا مر,joy
يامال فرق عين ميداليه وحد عرب في الاوليمبياد لا والى جايبها واحد مجنس,none
معنديش اي ابن وسخ خلى فرح او فرح حد لو بايسط طريق,anger
رب ستر انا خايفه من المدبحه دي جد زار الصحه ماش هتقدر تقاوم كتير خصوص ان مبقاش في منطق للمقاومه دهي,fear
باب فرح ان زمالك كسب وانا ماش عارف فرح علشان هو فرح لا زعل علشان زمالك كسب حاس بال هو عقوق والد دهي هيجيلي انفصام,surprise
يا جماع كل راح عالانستجرام يالا انشرو حساب شير أحيا ايموشنموجب مكمل مع شير,joy
الاهلي,surprise
جوايا خوف من كلم ظروف بقى طريق,fear
اللهم غفر لاغلي من غاب عن دنيا و رحم و حشر في زمر متحاب في و جعل ملتقاني هم في فردوس الاعلي يا رب حو تميمة,sympathy
طب تغير ازاي بس,surprise
كوسوفو حصد اول ميداليه ذهب لها في تاريخ في اول مشارك لاه في الاوليمبياد عن طريق مايليندا لي جاب ذهب جم جودو,none
عند ملعب من الل تقول دا عند بلايستيشن ودي مفاجاه الاوليمبياد عند بس,surprise
انا مبسوط شاخ لبن و الله تجربة في الاوليمبياد و تشجيع جمهور يهم هناك,joy
لا استطاع ان استقام حيا مريح نفس نتا شاهد تلك مصائب التي أعاش اهل حسب الله نعم وكيل اللهم رفع عن,sympathy
ايه الفكره اننا بعث جمهور مصر العربيه هي داخل في افتتاح الاوليمبياد كون رافع علم السعوديه,surprise
قول لابويا عايز عرب ب مليون جن قال كلم غريب اوي,surprise
اهالي رويس ناشد ملك في وقف ازاله حي دعوة ان حي عشواء جميع الاراضي في حي رويس على صكوك من زار الع,anger
لا حول لا قوى ال الله رب صبر ايموشنسالب ايموشنسالب,sympathy
ليش طلع خيمس رودريغز عنى لا رسم شاف لا ودي كثر لاعب مظلوم شف في ريال مدريد,anger
لحن وصل لا أشار ال ال وصل انا نتا,love
عاوز نمى بشر جد ماش هزار و بوزيتيف اينيرجي مدهش و ماش اتفرجوا ع الاوليمبياد,joy
انا طول عمر حب الرياض عام اي عب و اي حاج و حب اتابع الاوليمبياد و طول عمر ماش فارق معا مان كسب و ماش فارق معا دول اصلا,none
قلب متلهف نعيم سرمد,love
حلم ياعمر يالطفي حقيق اسم الاهلي مال كون حلم بيكبر كل دقيق شوف بق كام مليون,sympathy
الله هو الذي أمنح لنا احبائنا لا يم ان أوجد من خلال نسي الله اولئك الذين فقد حب ل الله ليس هم معني في,love
سلام قلب,joy
خبر بيقول ان في بنت برازيلي بتعلب غطس طرد من الاوليمبياد عش نامت مع لاعب تجديف برازيل ف اوضته ف القريه الاوليمبيه,none
ولاء لك سيد سلط قابوس حفظ الله متع موفور من الصحه والعافيه عمر مديد,love
مشكور وضاح عالموقع مؤثر الله كثر من امثالك,love
اني حبا عندما أبكى حبا وجه غائم حزين بعض نساء وجوه جميل صار جمل عندما أبكى,sadness
خايف مع الايام نسى لي بين قوام,fear
كهرباء استمر في معاقب مواطن في صيف الرياض,anger
رب كن لاخواننا في زاد صبر ثبات على باعداء دين اجمعين اللهم قد طال ليل ظالم فار في عجائب قدر,sympathy
اختار حب قلب لا تكني غياب له وجع كنت مازلت قلب عشق رفق قلب عشق,love
سعد حظ سماع معلق نيل للرياضه رفع الاثقال في الاوليمبياداحا,none
خال صاحب ايموشنسالب رب صبر ربط علي قلوب انتقم من الفجره دول,sympathy
سور الله رحم رحمة تراجف يدى من برد قول,sympathy
خايف طول بعد أسجى منة وياخذ مكانك شخص مهوب يسواك,fear
دا النهارده يوم مصر عرب ف الاوليمبياد بق يارب دايم فرحان,joy
هنا شخص خايف فتح موقع شاف غياب ايموشنسالب,fear
قائد محن ذو خلق عال محبوب من ال جميع ويستاهل سعاد لواء جمال خشرم كل حب تقدير احترام,love
و ان راي للمره الالف لن تغير تلك النبضه التي شعر بها حين اراك الاول,love
ليس هناك رجل استحق ان أبكى من جله لا تصدق نهو حزين فراق ف دائم عند كل شرق بديل زار قبان,sadness
عجز لسان عن صف حال اطفال سوري اللهم نهم مغلوب نصر ايموشنسالب اطفال سورة سورة يارب صور مؤلم حمص الثوره,sympathy
فظ محمد اظهارخان,anger
ايموشنموجب ايموشنموجب ايموشنموجب انا خايفه دخل تويتر مو بس حساب,fear
ست تقول قاضي اشوفه يا باه ثواني ابن معملش حاج خد علي اقرار زل,sadness
لقس لاتكون دائم عنوان قلوب الميته ف بعض قلوب تنبض جمال حب لكن قسا لان خائف من اعاده جرب مؤلم,fear
شخص اناني لا أمات عراق غلب اجيال ارسنال هنري أهان ارسنال ب كلام وفينجر أهان ارسنال ب افعاله مؤخر,anger
امي قدام حسن غماز انا مغلوب مرى,love
حجاز طويل اوي ايههه دا,surprise
غير مستغرب من طير الامارات ذوق خدم ممتاز تعويض متضرر سرع الخدمه ال الامام,joy
لو أسال عيون حدود تمني قال لق وجه جلس قبال حبا,love
نظام ايران استبداد درج اولي لابد ان واجه بقى غضب,anger
هي العلوقيه دخل الاوليمبياد لا لاس ما نبدا احنا عمل اتحاد لعب دهب دهب دهب,none
معلوم علي ماشي مرو رجب غالب ماش مكمل بعد الاوليمبياد اتحاد يد هايتغير في اكتوبر تعليق الامل علي التاهل دور ثاني سذاج,none
تقول فت توفى امي اثناء ولادة فاخذت اخر نفس من انفاسها تامل جيد مؤلم حد,sadness
اني عرف من نساء قبائلا لكن رسم لم وجد واني,love
الارجنتين خرج من منافس كره قدم في الاوليمبياد بعد ما اتعادلت مع الهندوراس الهندوراس اتاهلت فرق الاهداف,none
سم ريال مدريد ياعم,anger
اذا قال حبا احترم هذا ميثاق حمل هذه الامانه صدق في هذه التبعه واوف هذا عقد,love
نتا ابتديتوا تزايد علي حمد زايل انتو ايه صراصير مفيش احساس,anger
ناس لي ضغط عال دول رب تولى خصوص لي يبضايقوا من قلا حاج,sympathy
من تعلم اكتفاء ب شخص واحد عرف معني حب,love
علم يا احرار القطيف بان مع قلب قالب قلوب مع سيوف مسلول مع عهد لن تكون في المواجهه و,sympathy
عامل نفس من بن اشمعني بن عمر رت ايه هو سر ورا جمل عامل نفس من بن سبب هو,surprise
زي انهارده من سن الاهلي شاخ ريال مدريد في ستاد القاهره,joy
هتفشل الاوليمبياد دي واضح عنى,none
الله سلم انا مر خايفه ومو عارف كيف ابدارجوك كون معى,fear
هو برض برض نتا كم بيحصل معاكي حاج دي ياسبحان اللهايموشنموجب,surprise
لا ماش معقول ههههههههههه واو طب مان هيدفع بعض ناس و هو سجن,surprise
ماتش تاريخ باشمهندس ديلبوترو فاز مجموع واحد في واحد من فضل مباريات تنس في الاوليمبياد,none
انا بمتحن,fear
رفيق سوء مثل بعوض لا تحسي به ال بعد لسع مصطف المنفلوطي,sadness
انا مرعوب من ليل لي ناس وصلتله الله,fear
هو مان ابن الوسخه لي رفع علم السعوديه من بعث مصر في الاوليمبياد حد عند معلوم عن معتوه دهي,anger
بقا عرف قيم عند الاول قبل ما تقول عش خاطر,sadness
صار ليل و قام عالم تروح خايفه نكى مثل هالعالم تروح,fear
ترك عواد أساء سعودي ياخي انا مستغرب الدرباويه وين عن ي الدرباويه هذا قعد غلط علي امهاتكم,anger
جمال غندور هدف مبار زمالك في ماتش نبا صحيح و ضرب جزاء زمالك غير صحيح و ضرب جزاء نبا صحيح و كان جبى طرد حمد علي,joy
صور المذبحه ال تعرض لها المرتزقه جنود ضباط السعوديه يوم مسا في زحف فاشل علي طوال و حرض تسلم الايادي,anger
بغض نظر عن كل شيء بقى مصر وحيد لي شتم سخر شغال أراق علي لاعب مصر في الاوليمبياد حت اصابهم الاحباط ومفيش دعم هم,sadness
مذبح رابع رابع رابع قص طن لن تكرم مها أهان نساء,sadness
نجي رد جميل كويت عندما حتل صدام كويت في عهد ملك فهد عرف لقص كل حاق غزو هنا السعوديه ردى جميل كويت,anger
انا خد حاج دي متا هنجح ازاي انا عايش لاه واحد قاعد ف امتحان الميدتيرم,surprise
شير صوة نفس اصواتنا طبيعة,surprise
ايموشنموجب سلام علي من راي في حب عين عين ادت تجني في ايموشنموجب,love
شاف عاوز عمل ايه واحنا اتفق كل عمل شير أحيا مكمل مع شير,joy
الاوليمبياد الرياض عمومن بالنسبالنا عرب علم ان لاعب لي هنركز معى كل ماش هيعمل حاج ساب ناس في حال خلو نتفاجئ,none
اسهر علي طار مطلع شمس كل ما جيت نامي اشتاق لك كثر كلام,love
بقى كتم رقا انواع وجع,sadness
طلع عرف امتنان من كثر من سن,joy
في كام حبا دهي في الاوليمبياد لازم عرف عناوين عش نجيب لف من خالد و نول رضا ايموشنموجب,none
يارب تسهل اختبار ايموشنسالب حت نوم ما قدر انام خايفه ايموشنسالب انا الانسانه الوحيده لي شايله هم كل شي ايموشنموجب ياربي ماهاذا,fear
احرزت البحرينيه روى جيبيت اول ميداليه ذهب عرب في الاوليمبياد واقع مبهر ايموشنموجب ايموشنموجب,none
الله خايفه من تاسونامي,fear
اللهم كن لاخواننا مسلم مستضعف في كل مكان نصر علي عدو عدو يارب جعل مسلم فرج عاجل امين يارب,sympathy
اهتمام و تقدير مفتاح اي حد,joy
ماش مصدق حاج كان كل دا كابوس اكيد عيب وفى,sadness
انا طلع عامل فول ناس بض كد,surprise
م نتا حسى بدفا غريب اول م دخل,surprise
كل الايام بقى خر دهي,surprise
كلم عن تجربة في الاوليمبياد ايموشنموجب ايموشنموجب,none
كل لي خاص في الاوليمبياد دي باليه ماء لما تيجي فقر باليه ماء حد يقولي,none
اللهم كما نصر موسي علي فرعون نصر عباد مظلوم مستضعف علي طواغيت الارض يا قوة يا عزيز يا حكيم ليبي يمن مصر قدس,sympathy
دلمها هاد الاوليمبياد جات شهر ههههه,none
مبتفرجش علي الاوليمبياد والكوره مبفهمهاش ماش معا فلوس دخل الافلام الجديده ماش عارف اواكب عصر خالص,sadness
هو افتتاح الاوليمبياد متا,none
حب ماش منا الامنيه ان حب دام,love
من كثر ما صوة من فرق حسا ب ان دمع من صوة نزل,sadness
قطر داخل الاوليمبياد ب لاعب لي عايز سرق قطر استغل الفرصه دي بلد كل في برازيل ايموشنموجب برازيل,none
حرض مان ناس دايخين ههههههههههههه لو بتحرض كان حرض ايام ثور حن لكن شعب يبي ال سعود بس كثير اشياء تغب,love
اولئك الذين ملك قلوب مليء بالمحبه تكون اياديهم دائم ممدود زيار الاربعين الاربعين يا حس,love
و اغاني تان بس ماش فاكر حاج غير دلوقتي,joy
كل توفيق سلط عنز موفق يارب,love
هي الشبكه كانت واقع لاه,surprise
دجوكوفيتش بر الاوليمبياد راح يشوفله كلب بق,anger
انا طول الاوليمبياد مقضي متا هنفرح بق صوت,none
هو من متا لي عمر ما فهم او تابع رياض بيتابعوا الاوليمبياد,none
أحيا مساء معطر عطر ورد أحيا طيب يا ابطال عراق كل مع يا ابطال ندعوا لكم بنصبر ثبات تحرير رضا وطن,sympathy
مفوزين وبل الحموضه,surprise
تخلص الباقه سرع و دهي انا خايفه غير الشريحه,fear
مصري في الاوليمبياد ثقاف استسلام فشل,sadness
سبحان الله بيجو ف الايام لي مدايقه في جدا و ع اخري و باظ و يرخمو اكترى,surprise
راي ف الشبكه الفضه جميل جدا تحسس ان العروسه واخده مركز تان في الاوليمبياد ايموشنموجب ايموشنموجب ماتنفعش طبع نتا ممكن قلل الدهب حسن واشي,none
انا لو مكان اي لاعب من لي في الاوليمبياد دول وجاتلي فرص اني اتجنس جنس اي بلد ماش هفكر حظ في اني رفض,none
افتكر لو حمد موسي دخل الاوليمبياد هياخد ميداليه ذهب في ايه,none
اذا احببت شخص أخذ مع في دعاء دون علم هكذا كوى جمل قرب ال الله,love
و حن لي أغنى سهر اعترى احساس متبلد و خوف صد اجحاف و غياب ماتحس و لا تحني و لا راف,sadness
روح يا عبدالسلام ورى اشمعنا دي عنى هو الكنترول دهي مستكتر على أنام يوم مبسوط,sadness
رب ان لي رفيق حبا قرب لقاء لا حرم من جود بحة وحد علم بما له قلب سكع نمير بيان نبض مغرد,love
خايفه بقى كم بس سبب مجهول,fear
قطر داخل الاوليمبياد ب رياض عنى فرص لي عاوز سرق قطر بلد كل في برازيل,none
هو في سؤال عند من زمان هو اللجنه الاوليمبيه بتجيب فلوس ازاي عنى مفيش حقوق بث بتتباع بارقام كبير لا اعلانات في الاوليمبياد,surprise
تنامي عين لا أنام قلب يالبعثرات قلب ال هد مشتاق,sadness
يا حي يا دعاء انا بحببببببببببببك اوي يا حبيب مستنياكي ع نار,joy
أحيا صمود كل واحد عايش في مصر حد دلوقتي ومشربش سجاير لا شيش لا بيحشش لا جرب اي نوع من مخدر علشان واجه هذا واقع بائس,sadness
خصوص نكى من مك راح انتهى من نتا مرعوب,fear
في اتلانتا عظم من نال شرف اشعالها الاسطوره الراحله محمد علي كل مشهد الشعله هي ارتجف في يد لن امحى من ذاكر اي ع,sympathy
احنا معندناش دنا اهتمام باللاعيبه او تدريبواكيد شغتي ايهاب لي خد ميداليه دهي بيتدرب فينوصولهم الاوليمبياد انجاز وحد,anger
اللهم رزق ذه نظر ال وجه شوق ال لقاء اللهم رجع نفس ال راضي مرضي محمد وهيب,sympathy
في خدى في الاوليمبياد في المصارعه ايراني اسم سعيد مراد يا مطوبس,none
لنا دش لام حق امام سلط جائر,sadness
ملحم حلب كبر بالامس تبجح روس عن ممر منا عبور يوم بحث كلاب نظام وايران عن ممر منا هروب,anger
دخل الاوليمبياد دي بتفكرني بالاسبوع ثقاف لي كان عند ايموشنموجب,none
فيليبس وحد ذهب في الاوليمبياد ممكن زاد و دول العربيه كل علي مدار تاريخ الالعاب الاوليمبيه ذهب علي دنيا السلانكاتيه,none
بنت مصر شرف مصر سار سمير جبه شعب مصر,joy
أمات محاكم من تحدث عن فساد متا نحى فاسد متا اتخذ خطوة ايجابيه قضاء علي فساد الذي استشرى في مؤسس,anger
الاوليمبياد دي رض من حاج لي واحد لازم تفرج على,none
مساء جمل,joy
الله كبر الله كبر لا لها ال الله الله كبر الله كبر له حمد مبروك فك حصار حلب,joy
ماش نا لي در ظلم محمد خوى,joy
عنى لاعب مصر رفع علم سعودي لاه هو نتا مولود هناك لا اصلا ايه فضل السعوديه على عش ترفع علم في الاوليمبياد لاعب دا لازم رجع,surprise
لا أعطى قلب من لا قلب له لان حتم خذل لا أعطى حروف من لا أقر لان بلا شك أساء فهم,sadness
سم حازم امام ابن المره المتناكه كلب مرتضي,anger
انا كان بقال كتير مرتاح ال حد ما ايه كسر نفس دي ايموشنسالب,surprise
انني خائف جدا لا علم لماذا لازال قلب علي قيد لحى لازالت دموع انهمر عندما اتذكرك,fear
راح أظل دايم خايفه مرعوب ان شي ساء بيصير ان بيتركها او نهو يم موت رجع تعيش نفس لشا من جديدوهذا الل,fear
يا غل لي دعاء رئيس برلمان نتا ويش دخل في يمن عد نتا حارس قحاب متفهم في برلمان نتا حارس خمر بس,anger
السيسي أشاد ب تجنب تخريب كافأ مصر قرار صادم وسى تخريب مصر قرار,surprise
بلد محبوس في كاتب رواء مد سنة تقريب اسم حمد ناجى سبب صل في روايه التهم خدش حياء عام شخر قول احا نتا ساكت لاه,anger
الحمدلله وباذن الله فرح مسلم تحرير الشام جمع مبروك فك حصار حلب,joy
ماش عارف صراح انا مجربتش,fear
تعامل مع خوى بمبدا اذا جاء ميعاد مسلسل علي الاوليمبياد السلانكسيه ايموشنموجب,none
ليل سار سمير برونز الاوليمبياد مملك العيله دعم,none
خوف غريب زي لما أخاف شخص عافى من تصرف نفس وقت مو قادر تغير هالتصرفات,fear
لو ماكانش في الاوليمبياد ال ماتش صرب وامريكا في نص نهائي كره الطائره سيد كان هايبقي كفايه جدا بس الروعه ان في بتاع حظ زي دي ايموشنموجب,joy
ساكت من بر بس راديو من جو,sadness
حال قحاب السعوديه بالشققيرقصونها ناك اما مشروب او فلوس,anger
انا عم بنتقد جود الاغاني الجديده لان حب وبيهمني تشوف تعليق لان بيهمني تقدم الافضل وبتمني رجع تعاون مع محمد رفاع ايموشنموجب,love
قنع لقيا واول نظر ان قليل من حبيب كثير شعر فصيح شعر فصيح فصح ابيات خالد ابيات,love
بس بك نتا انا مبسوط لي حصل انهارده و امبارح محدش قال عقبالك,joy
ذعر في يابان سبب انذار خاطئ زلزال مدمر,fear
في ايه خايف أقول وانا ماش هقول كل لي حاس انا باه,sadness
حب اتفرج في الاوليمبياد علي عاب قوة والسباحه رفع الاثقال,none
صور اتهم افعي التهام ماشي عثر علي مفاجاه عند شق بطن منتفخ,surprise
الخيبه تاتي دائم من الذين قدم هم كل شاء خيب حقيق,sadness
علاقة لي دوم و بتنحفر قلب و تكون فريد و ماش بتتوصف و لا بيتحكي عن قلب روح الطبيعه ميزان,love
في ألام مرعب ابي اتفرج في وخايفه الله قبل لا اتفرجايموشنسالب هذا كبر مازلت اخافايموشنسالب ايموشنسالب,fear
مطلع رس من صال مطار قدام ايه جمال دا,joy
بقال فتر كبير محستش اني عب و مهدود شكل دا لي هو في ايه جد عنى,surprise
رب غفر ارواح رحل ومازالت ذكر باقة اللهم رحم تجاوز عن سكن فردوس علا يارب ساعى استجاب,sympathy
جدا ان تقاطع لكي جعل اشتاق لك ثم تتفاجئ بان غياب لم شعر به حدا,sadness
الامم المتحده أمنح جائز فضل ممثل بلاد شابه السعوديه رز العقيل مبروك على جميع,joy
احنا عند ناس حلو بس محدش بيقدرها ومحدش بيشجعها لا بيساعدهاوعلي رغم من دهي بينجحوا ابطالنا في الاوليمبياد,surprise
معليش تكون منطق هالمقطع مركب او ماخوذ من لم لان بعصرناهاد كميرات تصوير بهالردائه,surprise
درى نكى صار ضمن مستحيل بس قلب رغم بعد ما نسا درى اني ممكن لقا لك بديل بس وين لي ساوى غل لحى,love
سقى من فا ي سد حلو شراب في شفت منبع سكر ايموشنموجب يا عاشق قلم خواطر حبيب حب,love
لا الله كان الله في عون شباب تحديد,sympathy
يا جدع ممسوك ب كيلو حشيش متلبس طلع ازاي بس بلاش جنان,surprise
هل هناك وجع قسا من ان قفى كلام بين فم حنجرة ان اظهرته ندم واني ابقيته تالمت ايموشنسالب,sadness
معاكي بس انا سؤال من البدايه هو رايح الاوليمبياد لاه أجاب ميداليه لا ياخد موقف سياسة,surprise
ذوب روح في روح كون جسد واحد,love
حمد بوى غوش قطع الواد روس في نهائي اول ذهب واول ميداليه علي الاطلاق تحقق الاردن في تاريخ الاوليمبياد,joy
شكل خايفه من مدرب دجاج,fear
محاكم عسكر كل من حاول ان مسى مقدر طن غالي احتكار دولار او اتجار به في سوق سوداء فرم يا وسى مفيهاش هزار,anger
احترم بوى ربع وثلاث سن عش اهلهم مايزعلون علي ايموشنسالب,sadness
اخواننا في جنوب يمن كان الله في عون علي ما هم في ف وضع عند كل يوم ازداد صعوبه لا وري اي جود للشرعيه علي الارض,sympathy
شكر لان في حي شكر لان حي صباح حب,joy
معني كلام شاري مجن على شعب سورة هو جان جزائر متشيع فضح الثوره السوريه علي حقيق,anger
علا حياء والعفه شمل كلا من رجال نساء هي احدئ صف الانبياء اللهم رزق نساء عف فاطم على سلام,love
دموع رافض تنزل قلب حالف مايبطل,sadness
مفيش حسن من شخص لي فهم نتا زعل حت لو ضحك ايموشنموجب,joy
كل سلم جهود اسطورتي بوى فهد كبر من كلام له در من قائد عظيم,joy
صباح عسل والقشطه ازاي بس نتا مصح من حلو نوم ايموشنسالب,surprise
بد قطاع مقاول لكن لن انتهى عند شهد نسب البطاله قفز كبير ان لم يتم ضخ اموال انعاش اقتصاد داخلي افلاس شر,fear
راي امتحان ابن جزم كم خمس ساعة و ماش ناقص,anger
الله ربح خايفه من غادة ماتزيدهايموشنسالب ايموشنسالب ايموشنسالب ايموشنسالب,fear
لاعب نادى نصر أضاع ضرب جزاء ضرب بطريق غريب نادى نصر هلال شباب الاهلي اتحاد اتحاد,anger
هوى ايموشنموجب,joy
اللهم وحد صف جمع كلم ورد ال رد جميل بورما,sympathy
لي عند وقت تابع كل عاب الاوليمبياد دول اكترى ناس فراغ نايكهم,none
خايف اتعود علي دنيا بدون هذا غرب خوف مر بحة,fear
لا الله انا متعاطف مع مسلم بغض نظر عن دين لم اصوت عابد لان لايستحق,sympathy
