كيزان	كوز
بسطاء	بسيط
اصحاب	صاحب
طلاب	طالب
شوارع	شارع
عناكب 	عنكبوت 
مساكن	مسكن
دول دوله
شقق	شقه
صناديق	صندوق
رواتب	راتب
ظباط	ظابط
مشاريع	مشروع
نواب	نائب
رشاوي	رشوه 
أقباط 	قبطي 
دعاة داعية 
مستشفيات 	مستشفي 
اراء 	راي
وزراء	وزير
قضاه	قاضي
مقابر 	مقبرة 
فوانيس	فانوس
علماء	عالم
معاهد	معهد
طوابير	طابور
جماهير	جمهور
قوانين	قانون
اطباء	طبيب
اساليب	اسلوب
مدن	مدينة
بحاث	باحث
رؤساء	رئيس
مبادئ	مبدء
خطط	خطة
رواد	رائد
حصص 	حصة 
عظماء 	عظيم 
اموال 	مال 
مساجين	مسجون	
مسارح	مسرح
مقاعد	مقعد
مقاهي	مقهي
مكاتب	مكتب
مكاسب	مكسب
مقايس 	مقياس 
عساكر 	عسكري
ميادين 	ميدان 
فوانيس	فانوس
طوابير	طابور
رسائل	رسالة
فقراء	فقير
افلام	فيلم
سفن	سفينة
فواتير	فاتورة
اسهم	سهم
شقق	شقة
بذور	 بذره
بذر	بذره 
بطون	 بطن
بنود	 بند
بنوك	 بنك
ثقوب	 ثقب
ثلوج	 ثلج
جدود	 جد
جذور	 جذر
جذوع	 جذع
جسور	 جسر
جلود	 جلد
جنود	 جندي
جند 	جندي
اجناد	جندي 
جيوب	 جيب
حروب	 حرب
حروف	 حرف
حشود	 حشد
حصون	 حصن
حظوظ	 حظ
حقوق	 حق
حقول	 حقل
خدوش	 خدش
خطوط	 خط
خمور	 خمر
خيوط	 خيط
خيول	 خيل
دروس	 درس
دروع	 درع
دموع	 دمع
دهون	 دهن
ديوب	 ديب
ديون	 دين
رسل	رسول
رسوم	 رسم
رموز	 رمز
زهور	 زهره
زيوت	 زيت
سجول	 سجل
سجون	 سجن
سدود	 سد
سطوح	 سطح
سطور	 سطر
سفوح	 سفح
سقوف	 سقف
سموم	 سم
سهول	 سهل
سيوف	 سيف
شحوم	 شحم
شروح	 شرح
شروخ	 شرخ
شرور	 شر
شروط	 شرط
شعوب	 شعب
شقوق	 شق
صحون	 صحن
صدور	 صدر
صدوع	 صدع
صعود	 صعد
صقور	 صقر
صكوك	 صك
ضروب	 ضرب
ضغوط	 ضغط
ضيوف	 ضيف
طرود	 طرد
طعون	 طعن
طيور	 طير
ظروف	 ظرف
عجول	 عجل
عروض	 عرض
عصور	 عصر
عطور	 عطر
عقول	 عقل
عقود	عقد
عيوب	 عيب
غزول	 غزل
غيوم	 غيم
فحوص	 فحص
فروخ	 فرخ
فروع	 فرع
فصول	 فصل
فنون	 فن
قبور	 قبر
قرود	 قرد
قروض	 قرض
قرون	 قرن
قصور	 قصر
قلوب	 قلب
كسور	 كسر
كنوز	 كنز
لصوص	 لص
ملوك	 ملك
مهور	 مهر
نصوص	 نص
ابراج	 برج
ابطال	 بطل
ابعاد	 بعد
ابقار	 بقر
اثواب	 ثوب
اجبان	 جبن
اجراس	 جرس
اجرام	 جرم
اجساد	 جسد
اجسام	 جسم
اجفان	 جفن
اجناس	 جنس
اجيال	 جيل
احباش	 حبش
احجار	 حجر
احجام	 حجم
احداث	 حدث
احراش	 حرش
احزاب	 حزب
احزان	 حزن
احقاد	 حقد
احكام	 حكم
احلاف	 حلف
احلام	 حلم
احواض	 حوض
احوال	 حال
اخبار	 خبر
اختام	 ختم
اخشاب	 خشب
اخطار	 خطر
ادماج	 دمج
ادوار	 دور
اديان	 دين
اذناب	 ذنب
اذهان	 ذهن
اذواق	 ذوق
ارباح	 ربح
ارباع	 ربع
ارتال	 رتل
ارزاق	 رزق
ارصاد	 رصد
ارقام	 رقم
اركان	 ركن
ارياف	 ريف
ازمان	 زمن
ازهار	 زهره
ازواج	 زوج
اسباب	 سبب
اسراب	 سرب
اسعار	 سعر
اسفار	 سفر
اسلاف	 سلف
اسلاك	 سلك
اسماك	 سمك
اسوار	 سور
اسواق	 سوق
اسياق	 سيق
اسيان	 سين
اشباح	 شبح
اشبال	 شبل
اشجار	 شجره
اشخاص	 شخص
اشعار	 شعر
اشكال	 شكل
اشواط	 شوط
اشواق	 شوق
اصداف	 صدف
اصفار	 صفر
اصناف	 صنف
اصنام	 صنم
اصوات	 صوت
اضرار	 ضرر
اضراس	 ضرس
اضعاف	 ضعف
اضلاع	 ضلع
اطباق	 طبق
اطراف	 طرف
اطفال	 طفل
اطوار	 طور
اطياف	 طيف
اعذار	 عذر
اعراس	 عرس
اعراف	 عرف
اعراق	 عرق
اعشاب	 عشب
اعطال	 عطل
اعلاف	 علف
اعماق	 عمق
اعمال	 عمل
اعناق	 عنق
اعواد	 عود
اعياد	 عيد
اغراض	 غرض
اغصان	 غصن
اغنام	 غنم
اغوار	 غور
افخاذ	 فخذ
افراح	 فرح
افراد	 فرد
افراس	 فرس
افراط	 فرط
افران	 فرن
افطار	 فطر
افعال	 فعل
افكار	 فكر
افهام	 فهم
افواج	 فوج
افيال	 فيل
اقداح	 قدح
اقداس	 قدس
اقراص	 قرص
اقراض	 قرض
اقران	 قرن
اقزام	 قزم
اقساط	 قسط
اقسام	 قسم
اقطاب	 قطب
اقطار	 قطر
اقفاص	 قفص
اقفال	 قفل
اقلام	 قلم
اقمار	 قمر
اقواس	 قوس
اقوال	 قول
اكباد	 كبد
اكشاك	 كشك
اكفال	 كفل
اكفان	 كفن
اكواب	 كوب
اكواخ	 كوخ
اكياس	 كيس
الحان	 لحن
العاب	 لعبه
الغاز	 لغز
الغام	 لغم
القاب	 لقب
الواح	 لوح
الوان	 لون
اليان	 لين
امتار	 متر
امجاد	 مجد
امراض	 مرض
امساك	 مسك
امصال	 مصل
امطار	 مطر
املاح	 ملح
اموات	 ميت
امواج	 موج
اموال	 مال
انجال	 نجل
انساب	 نسب
انصاب	 نصب
انصار	 نصر
انغام	 نغم
انفاق	 نفق
انماط	 نمط
انهار	 نهر
انواع	 نوع
اهداف	 هدف
اهرام	 هرم
اهوار	 هور
اهوال	 هول
اوتاد	 وتد
اوتار	 وتر
اوجاع	 وجع
اوحال	 وحل
اوراق	 ورق
اورام	 ورم
اوزان	 وزن
اوصاف	 وصف
اوضاع	 وضع
اوطان	 وطن
اوقات	 وقت
اوكار	 وكر
اولاد	 ولد
بدلاء	 بديل
بدناء	 بدين
بسطاء	 بسيط
حلفاء	 حليف
خبراء	 خبير
خطباء	 خطيب
خفراء	 خفير
دخلاء	 دخيل
رقباء	 رقيب
رئساء	 رئيس
زعماء	 زعيم
زملاء	 زميل
سجناء	 سجين
سعداء	 سعيد
سفراء	 سفير
شرفاء	 شريف
شركاء	 شريك
شهداء	 شهيد
ضعفاء	 ضعيف
ظهراء	 ظهير
عظماء	 عظيم
عقداء	 عقيد
عملاء	 عميل
غرباء	 غريب
فقراء	 فقير
فقهاء	 فقيه
قدماء	 قديم
كفلاء	 كفيل
مدراء	 مدير
نبلاء	 نبيل
نزلاء	 نزيل
نقباء	 نقيب
توابيت	 تابوت
جواسيس	 جاسوس
حواسيب	 حاسوب
صواريخ	 صاروخ
طوابير	 طابور
فواتير	 فاتوره
قوارير	 قاروره
قواميس	 قاموس
قوانين	 قانون
مواخير	 ماخور
مواسير	 ماسوره
نواويس	 ناووس
ابحاث	 بحث
جوائز	 جائزه
دوائر	 دائره
روائح	 رائحه
روائع	 رائع
سوائل	 سائل
طوائف	 طائفه
عوائد	 عائد
عوائق	 عائق
عوائل	 عائله
فوائد	 فائده
فوائض	 فائض
قوائم	 قائمه
لوائح	 لائحه
موائد	 مائده
بدائل	 بديل
بضائع	 بضاعه
جرائد	 جريده
جرائم	 جريمه
حدائق	 حديقه
حرائق	 حريق
حظائر	 حظيره
حقائب	 حقيبه
حقائق	 حقيقه
خرائط	 خريطه
خزائن	 خزينه
خسائر	 خساره
دعائم	 دعامه
دقائق	 دقيقه
دلائل	 دليل
ذبائح	 ذبيحه
ذخائر	 ذخيره
ذرائع	 ذريعه
رسائل	 رساله
ركائز	 ركيزه
رهائن	 رهينه
زرائب	 زريبه
زعائم	 زعيم
سبائك	 سبيكه
ستائر	 ستاره
شتائم	 شتيمه
شرائح	 شريحه
شرائط	 شريط
شرائع	 شريعه
شعائر	 شعيره
صغائر	 صغيره
صفائح	 صفيحه
ضرائب	 ضريبه
طرائد	 طريده
طرائف	 طريفه
طرائق	 طريق
طلائع	 طليعه
عجائب	 عجيبه
عرائض	 عريضه
عشائر	 عشيره
عقائد	 عقيده
غرائب	 غريبه
غنائم	 غنيمه
فرائض	 فريضه
فصائل	 فصيل
فضائح	 فضيحه
فضائل	 فضيله
فطائر	 فطيره
فظائع	 فظيعه
قبائل	 قبيله
قذائف	 قذيفه
قسائم	 قسيمه
قصائد	 قصيده
قلائل	 قليل
كبائر	 كبير
كتائب	 كتيبه
كمائن	 كمين
كنائس	 كنيسه
لفائف	 لفافه
مدائح	 مديح
مدائن	 مدينه
مسائل	 مساله
مصائب	 مصيبه
مصائر	 مصير
مضائق	 مضيق
مكائد	 مكيده
نتائج	 نتيجه
نصائح	 نصيحه
هزائم	 هزيمه
بقايا	 بقيه
خفايا	 خفيه
خلايا	 خليه
رعايا	 رعيه
سرايا	 سريه
شظايا	 شظيه
ضحايا	 ضحيه
قضايا	 قضيه
هدايا	 هديه
بواخر	 باخره
بوادر	 بادره
بوارج	 بارجه
ثوابت	 ثابت
جوارح	 جارح
جوامع	 جامع
جوانب	 جانب
حواجز	 حاجز
حوادث	 حادث
حوامل	 حامل
حوامض	حامض 
دواجن	 داجن
دواخل	 داخل
دوافع	 دافع
روابط	 رابط
رواتب	 راتب
روافد	 رافد
زوابع	 زوبعه
زواحف	 زاحف
زوارق	 زورق
سوابق	 سابق
سواتر	 ساتر
سواحل	 ساحل
شوارب	 شارب
شوارع	 شارع
شواطئ	 شاطئ
شواهد	 شاهد
صواعق	 صاعقه
صوامع	 صومعه
طوابع	 طابع
طوابق	 طابق
طوارق	 طارق
طوارئ	 طارئ
طواقم	 طاقم
ظواهر	 ظاهره
عوارض	 عارض
مدارس	مدرسه
عواصف	 عاصفه
عواصم	 عاصمه
عواطف	 عاطفه
عواقب	 عاقبه
عوالم	 عالم
عوامل	 عامل
فوارق	 فارق
فواصل	 فاصل
فواقد	 فاقد
قوارب	 قارب
قوارض	 قارض
قواطع	 قاطع
قواعد	 قاعده
قوافل	 قافله
قوالب	 قالب
كوابح	 كابح
كوادر	 كادر
كوارث	 كارثه
كواشف	 كاشفه
كواكب	 كوكب
لواقط	 لاقط
موارد	 مورد
مواسم	 موسم
مواعد	 موعد
مواقع	 موقع
مواقف	 موقف
مواكب	 موكب
موانع	 مانع
مواهب	 موهبه
نوادر	 نادره
نوافذ	 نافذه
هواتف	 هاتف
هواجس	 هاجس
هوامش	 هامش
اثرياء	 ثري
اغنياء	 غني
اقوياء	 قوي
انبياء	 نبي
اوفياء	 وفي
اولياء	 ولي
احاديث	 حديث
احاسيس	 احساس
احافير	 احفور
اسابيع	 اسبوع
اساطيل	 اسطول
اساليب	 اسلوب
اعاصير	 اعصار
اغادير	 اغدير
اقاليم	 اقليم
اكاليل	 اكليل
انابيب	 انبوب
اناجيل	 انجيل
اناشيد	نشيد
براغيث	 برغوث
براكين	 بركان
براميل	 برميل
براهين	 برهان
تحاليل	 تحليل
تدابير	 تدبير
تراخيص	 ترخيص
ترانيم	 ترنيم
تصاريح	 تصريح
تصاميم	 تصميم
تعابير	 تعبير
تعاليم	 تعليم
تفاصيل	 تفصيل
تقارير	 تقرير
تقاليد	 تقليد
تقاويم	 تقويم
تلاميذ	 تلميذ
تماثيل	 تمثال
تمارين	 تمرين
تماسيح	 تمساح
ثعابين	 ثعبان
جراذين	 جرذون
جماهير	 جمهور
خراطيش	 خرطوش
خنازير	 خنزير
دراويش	 درويش
دساتير	 دستور
دلافين	 دلفين
سراديب	 سرداب
سراويل	 سروال
سلاطين	 سلطان
شرايين	 شريان
شياطين	 شيطان
صراصير	 صرصور
صناديق	 صندوق
صهاريج	 صهريج
عصافير	 عصفور
عفاريت	 عفريت
عناوين	 عنوان
غلايين	 غليون
فساتين	 فستان
فناجين	 فنجان
مجارير	 مجرور
مجانين	 مجنون
محادين	 محدان
محاصيل	 محصول
محاليل	 محلول
مخابيء	 مخبء
مخابيل	 مخبول
مخاتير	 مختار
مداخيل	 مدخول
مراحيض	 مرحاض
مراسيم	 مرسوم
مساحيق	 مسحوق
مسامير	 مسمار
مشاريع	 مشروع
مشاهير	 مشهور
مصابيح	 مصباح
مصاريف	 مصروف
مضامين	 مضمون
معاريف	 معروف
معايير	 معيار
مفاتيح	 مفتاح
ملاعين	ملعون
مفاعيل	 مفعول
مفاهيم	 مفهوم
ملايين	 مليون
مماليك	 مملوك
مناسيب	 منسوب
مناشير	 منشور
مناطيد	 منطاد
مناظير	 منظار
ميادين	 ميدان
اساطير	 اسطوره
اكاذيب	 اكذوبه
تعاويذ	 تعويذه
جراثيم	 جرثومه
زنازين	 زنزانه
مجاميع	 مجموعه
مساكين	 مسكين
رقاب	رقبة
مناطق منطقه 
صهاينه	صهيوني
ضفادع	ضفدع
بنات	بنت
فتيات	فتاه
أربطة	رباط
عطايا	عطية
ردود	رد
حوافز	حافز
حوائط	حائط
احباب	حبيب 
احباء	حبيب 
حجوزات	حجز
احزمه	حزام
احصنه	حصان
احضان	حضن
احطاب	حطب
حفر	حفره
حقن 	حقنه
حكماء	حكيم
حلول	حل
حمير	حمار
احمال	حمل
حنط	حنطه
احوال	حول
احياء	حي
حيوات	حياه
قنوات	قناه
خرسان	اخرس
خصوم	خصم
اخلاط	خليط
دواهي	داهيه
دخول	دخل 
ادراج	درج
دعاوي	دعوي
دفاتر	دفتر
ادمغه	دماغ
ادهنه	دهان
ديوك	ديك
ديول	ديل
ذكور	ذكر
اذكياء	ذكي
رجال	رجل
ارحام	رحم
رذائل	رذيلة
رمال	رمل
رهونات	رهن
اروقه	رواق
ارواح	روح
رياح	ريح
زلازل	زلزال
سواقي	ساقية
سكان	ساكن
سبل	سبيل
ستات	ست
اسرار	سر
اسطح	سطح
اسفح	سفح
سفهاء	سفيه
اسقف	سقف
سكك	سكه
اسلحه	سلاح
سلاسل	سلسلة
اسمده	سماد
اسناد	سند
سهام	سهم
اسياج	سياج
اسوجه	سياج
سبوب	سيب
اسياد	سيد 
سيول	سيل
شوائب	شائبة
اشباه	شبه
شجر	شجره
اشغال	شغل
شكوك	شك
شكاوي	شكوي
اشواك	شوك
اشياء	شيئ
صخر	صخره
صروح	صرح
صفوف	صف
صور	صورة
ضباط	ضابط
ضواحي	ضاحية
اضحيه	ضحيه
اضرحه	ضريح
ضلوع	ضلع
ضمائر	ضمير
اضواء	ضوء
طغاه طاغي 
طيور	طائر
اطعمه	طعام
طقوس	طقس
اطقم	طقم
اطماع	طمع 
اطنان	طن
اطوال	طول
اظرف	ظرف
عوادم	عادم
عوالق	عالق
عبيد	عبد
عروش	عرش
عروق	عرق
عراوي	عروة
عزائم	عزيمة
عشش	عش
اعصاب	عصب
عقوبات	عقاب
عقاقير	عقار
اعلام	علم
اعمار	عمر
اعناب	عنب
عهود	عهد
اغذيه	غذاء
غرائز	غريزة
غصون	غصن
اغلفه	غلاف
غلابه	غلبان 
الوف	الف
فواتح	فاتح
فتاحات	فتحة
فرص	فرصة
فروق	فرق
فصوص	فص
افضال	فضل
فنادق	فندق
قساه	قاسي
قنابل	قنبلة
قناديل	قنديل
قناطر	قنطرة
قواقع	قوقعه
اقوام	قوم
قيود	قيد
قيم	قيمة
كواهل	كاهل
كتل	كتلة
ثمر	ثمره
نواتج	ناتج
شهور	شهر
الات	اله
قرح	قرحة
اقدام	قدم
اقراط	قرط
اقطان	قطن
اكوام	كوم
لوازم	لازمه
معارك	معركه
مجاري	مجري
متاحف	متحف
متاجر	متجر
مفارم	مفرمه
ملاعب	ملعب
معارف	معرفه
مفارق	مفرق
نيران	نار
مفاصل	مفصل
مشاهد	مشهد
وجوه	وجه
اوجه	وجه
منابر	منبر
انهار	نهر
ورد	ورده
مصارف	مصرف
نحل	نحله
ميول	ميل
اوساط	وسط
يهود	يهودي
نوادي	نادي
مناجم	منجم
مكامن	مكمن
مصادر	مصدر
ملاعق	ملعقه
مذاهب	مذهب
مجامع	مجمع
منازل	منزل
ليوث	ليث
وديان	وادي
مراجع	مرجع
مجالس	مجلس
مواشي	ماشيه
احوال	حال
وسطاء	وسيط
وسيطات	وسيط
وعود	وعد
هنود	هندي
وظائف	وظيفه
وفود	وفد
مراصد	مرصد
ورثاء	وريث
وسائل	وسيله
انعل	نعل
مبالغ	مبلغ
مداخل	مدخل
انفاس	نفس
انفس	نفس
نكت	نكته
نقوش	نقش
نقط	نقطه
انقياء	نقي
معابر	معبر
معابد	معبد
اوهام	وهم
مصانع	مصنع
مقاصف	مقصف
نمور	نمر
مراعي	مرعي
انظمه	نظام
نظم	نظام
مقاصد	مقصد
مطابخ	مطبخ
مدافع	مدفع
انوار	نور
هموم	هم
معارض	معرض
معادن	معدن
محاضر	محضر
مراقص	مرقص
مقاطع	مقطع
مجازر	مجزره
مشايخ	مشيخه
مطابع	مطبعه
ايدي	يد
وساوس	وسواس
امثال	مثل
نسب	نسبه
اوسمه	وسام
مكابس	مكبس
مدد	مده
محاور	محور
معاقل	معقل
مطاعم	مطعم
محامل	محمل
وضعاء	وضيع
معامل	معمل
ودائع	وديعه
هياكل	هيكل
ملاحق	ملحق
مشاغل	مشغل
مطالب	مطلب
مناشف	منشفه
مفارش	مفرش
مشاكل	مشكله
وثائق	وثيقه
مخازن	مخزن
مخارج	مخرج
ورق	ورقه
لعب	لعبه
ثمر	ثمره
سنوات	سنه
ريضايات	رياضه
ايام	يوم
اعوام	عام
احفاد	حفيد
ايدي	يد
حجاج	حاج
اوبئه	وباء
شراشيح	شرشوح
فضايح	 فضيحه
امور	امر
